X,Y,FID,OBJECTID,Spaces,Fee,Comments,Phone,Name,Address,Neighborho,Maxspaces,Hours,GlobalID,CreationDate,Creator,EditDate,Editor
-7918414.1985,5213945.5113,1,1,60,No Charge, , ,Municipal Lot #003,115 Harvard Ave, ,0, ,{1BC385C4-285F-49D6-A606-151380906D38},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7920695.3886,5213501.8242,2,2,42,No Charge, , ,Municipal Lot #002,398 Market St, ,0, ,{A9FCF634-AE60-407A-8B05-9BCAC6BFEB63},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7917328.7213,5215701.1131,3,3,,No Charge,"Only Allston and Brighton residents can park at this garage during a snow emergency only. May need to show proof of residency. Parking spots are limited and on a first-come, first-served basis. If parked past the approved the time, may be ticketed/towed.",617-496-6400,Harvard University/Soldiers Field Park Garage ,111 Western Ave, ,0, ,{9E939045-7D01-4981-BD86-819EEC93EC7C},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 20:03:28+00,BostonGIS
-7921074.2524,5203874.2085,4,4,18,No Charge,, ,Municipal Lot #034,1891 Centre Street, ,0, ,{0CDDFBC4-5AFB-40FB-A783-D9F98C95F3A7},2017/12/04 17:09:20+00,BostonGIS,2019/06/28 15:53:20+00,BostonGIS
-7920843.6753,5203887.0096,5,5,53,No Charge, , ,Municipal Lot #010,39-41 Corey St, ,0, ,{5379D27E-2F96-43CA-AEA2-9810BAD6AC36},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:34:41+00,
-7910585.4896,5214061.0225,6,6,,$10 for each 24-hour period,"Discounted parking is only for Chinatown, Downtown, and North End residents. You need to provide proof of your residency. You will be charged each time your vehicle exits and re-enters the garage.",617-357-1987,Lafayette Garage,1 Avenue De Lafayette, ,0, ,{6A6F6ABA-32F9-4ED4-8FAF-86B3527B017F},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:05+00,BostonGIS
-7908861.0516,5211509.0103,7,7,60,No Charge, , ,Municipal Lot #018,450 West Broadway, ,0, ,{5F992294-E587-4CAB-90AC-58E9B9E2765D},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907958.6192,5211428.3993,8,8,22,No Charge, , ,Municipal Lot #021,"650-652 East Broadway
", ,0, ,{22459E32-8031-4D07-A2B3-37724EC6D665},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907683.9864,5212805.0405,9,9,,$1 for each night,Discounted rate for residents of South Boston only. South Boston Resident Parking Permits are required.  Snow Emergency parking is allowed on the fourth floor of the garage only.,617-482-2487,BPDA/EDIC Garage,12 Drydock Ave, ,0, ,{6BD71B92-C461-4A3C-AD4A-9426FDC474B4},2017/12/04 17:09:20+00,BostonGIS,2019/01/16 15:45:09+00,BostonGIS
-7913403.1703,5211611.0029,10,10,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-267-9677,Northeastern University/Renaissance Park Garage,835 Columbus Avenue, ,0, ,{5053FD3B-4799-4027-94BC-947C69D25945},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:35+00,BostonGIS
-7913221.1575,5212108.1946,11,11,,You pay 50% of the variable rate. The most you will pay is $17.50 for each 24-hour period.,"Discounted parking is for Roxbury, South End, and Fenway/Kenmore residents only. Need to have a visible resident parking permit sticker to receive the discount. Parking is based on a first-come basis and depends on the availability of space.",617-266-7260,Northeastern University/Gainsboro Garage,10 Gainsborough Street, ,0, ,{1CD2FF90-10CB-48D0-B77F-76B92CBBA22E},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:27+00,BostonGIS
-7913231.8703,5213115.979,12,12,,$10/24 hrs,"Discounted parking is only for Back Bay, Beacon Hill, Chinatown, Downtown, Fenway/Kenmore, and South End residents. You will be charged each time you exit and re-enter the garage with your vehicle.",617-247-8006,Auditorium Garage,50 Dalton St, ,0, ,{005A11ED-4A55-4373-B4B7-1CDA6571E451},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:30:22+00,BostonGIS
-7909345.5398,5217566.2189,13,13,,FULL,"Charlestown residents only.  Limited space so the garage enforces the 2 hour rule.  Anyone who enters more than 2 hours before the Snow Emergency is in effect and/or departs more than 2 hours after the ban has lifted, will not receive the discount rate.", ,Shipyard Garage/Mass General Hospital,"Building #199 13th St
", ,0, ,{4A6DD815-9A4A-48AB-B910-A688E451FD92},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:46+00,BostonGIS
-7911698.6402,5204726.8384,15,15,42,No Charge, , ,Municipal Lot #017,"575-581 Washington St
", ,0, ,{C2C0EBAC-589D-468A-9BA8-CD9A8A8EFF0A},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7910949.3669,5208745.3648,16,16,100,No Charge, , ,Municipal Lot #019,16 Hamlet St, ,0, ,{E95D9902-6513-4D26-BB9F-3D5579F5E320},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7910427.2972,5206386.2007,17,17,22,No Charge, , ,"Municipal Lot #020 
",191 Adams St, ,0, ,{2849C5FF-FCC8-4D56-B667-1454C6D222DA},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7911151.4109,5208755.2518,18,18,12,No Charge, , ,Municipal Lot #022,730-732 Dudley St, ,0, ,{7035791D-A24A-4811-A077-2AFF4BB74E15},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7911040.7019,5208759.276,19,19,32,No Charge, , ,Municipal Lot #016,8-20 Belden St, ,0, ,{26514A95-0E08-4419-AF88-F4ADD9E92B95},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7912997.5192,5207411.1547,20,20,40,No Charge, , ,Municipal Lot #023,20 Georgia St, ,0, ,{3BDF0475-0C19-4112-9236-557536EBA4B4},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7911139.13,5207045.1812,21,21,18,No Charge, , ,Municipal Lot #015,254-258 Bowdoin St, ,0, ,{65526C05-B044-47E8-813D-1DDD67BC7E7F},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7911664.3208,5204456.2095,22,22,24,No Charge, , ,Municipal Lot #031,629 Washington St, ,0, ,{5166FBEF-9363-4F1D-926A-479B24D65989},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7912105.6397,5209717.7637,23,23,18,No Charge, , ,Municipal Lot #027,25 Blue Hill Ave, ,0, ,{38360A4B-6FCB-4BE6-8277-AC36128CAE08},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907830.2261,5217228.6005,24,24,35,No Charge, , ,Municipal Lot #004,"40 Porter St
", ,0, ,{7F9D5097-A813-4463-9EA7-BA4523171836},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907866.3662,5217299.3144,25,25,35,No Charge, , ,Municipal Lot #005,166-180 London St, ,0, ,{12D22C40-BEE6-4D2D-B3D0-6065111842B5},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7907876.1614,5217407.2617,26,26,26,No Charge, , ,Municipal Lot #026,36 Bennington St, ,0, ,{956F6E1C-5A80-46A1-96EC-6860E8FA698C},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7917605.3334,5199283.042,27,27,8,No Charge, , ,Municipal Lot #011,1269 Rear Hyde Park Ave, ,0, ,{41CABE5A-DC59-44A8-924C-6B8E1A705201},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7917428.7273,5199485.2115,28,28,135,No Charge, , ,Municipal Lot #012,37 Winthrop St, ,0, ,{EAFA0A56-C333-4E69-B0D3-D70B6AA52453},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7914511.5331,5208515.8497,29,29,39,No Charge, , ,Municipal Lot #033,3042 Washington St, ,0, ,{67F11129-24E1-460B-A482-12072C5C2886},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7916497.9279,5207691.7871,30,30,103,No Charge, , ,Municipal Lot #006,"737 Centre St
", ,0, ,{03AD3528-50F9-4AD5-9309-799DE69125C2},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:40:51+00,
-7915623.1526,5209373.517,31,31,24,No Charge, , ,Municipal Lot #007,350-352 Centre St, ,0, ,{0DB9D91C-E9CE-42BA-9724-5CC0498548B0},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7914681.9978,5208379.6351,32,32,15,No Charge, , ,Municipal Lot #024,3087 Washington St, ,0, ,{58445E25-6CF8-47EC-80F2-C472F3CEC703},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7916192.588,5208746.0179,33,33,33,No Charge, , ,Municipal Lot #032,490-498 Centre St, ,0, ,{EC036144-6DE5-4B7B-B479-2AFB7B3A36CA},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7914004.4231,5201319.8815,34,34,90,No Charge, , ,Municipal Lot #013,451-467 River St, ,0, ,{FBB90DFD-1FE7-4070-AF7F-D91656F94AF9},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7914303.6019,5201323.5116,35,35,40,No Charge, , ,Municipal Lot #014,23 Fairway St, ,0, ,{7CD28D6C-7B2F-4D3A-AEDF-93901A159271},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7918008.4576,5204143.1247,36,36,92,No Charge, , ,Municipal Lot #008,10 Tafthill Terr., ,0, ,{8B058E49-22CD-4420-B7F0-8A91EB542BB7},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7912995.9679,5210754.1627,37,37,72,No Charge, , ,Municipal Lot #001,"30 Ruggles St
", ,0, ,{6A5F44C9-6FB8-4BC4-A33B-BFEE66C6AC0D},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7912937.5752,5210424.0368,38,38,25,No Charge, , ,Municipal Lot #028,44 Warren St / Ziegler St, ,0, ,{D595B15C-0E6F-429F-B765-AADA46737DFB},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:43:24+00,
-7912165.7888,5210019.2784,39,40,28,No Charge, , ,Municipal Lot #030,353 Dudley St, ,0, ,{7DA58896-DD0B-4DC1-B5C2-8352E286039C},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7913385.9525,5210712.2073,40,41,12,No Charge, , ,Municipal Lot #025,"14 Roxbury St
", ,0, ,{99D412B4-7BCB-4084-8B60-C70BB3A4BF0A},2017/12/04 17:09:20+00,BostonGIS,2017/12/04 17:09:20+00,BostonGIS
-7914966.5357,5212678.5969,43,45,,$15 for each 24-hour period,"Discounted parking for residents of Fenway/Kenmore only.  Before leaving the garage, stop by the parking office with both your ticket and Fenway/Kenmore proof of residency to receive the discount.", ,Fenway Triangle Trilogy Garage,180 Brookline Ave, ,0, ,{72AE98ED-8F79-4C50-9318-A32720EEF8C3},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 19:36:57+00,BostonGIS
-7914640.6114,5212665.1955,44,46,,$15 for each 24-hour period,"Discounted parking for residents of Fenway/Kenmore only.  Limited availability at this facility. Before leaving the garage, stop by the parking office with both your ticket and Fenway/Kenmore proof of residency to receive the discount.", ,1330 Boylston Street Garage,1310 Boylston St, ,0, ,{837F7406-9A40-4471-B9FD-1EECA596FAF3},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:30:25+00,BostonGIS
-7912788.7802,5212785.6489,45,47,,$14 for each 24-hour period,Only Back Bay and South End residents can park at the facility. Entrance to the garage is on Cumberland Street. Snow Emergency Parking is limited to 15-20 spaces. Cars must be out within two hours of the ban being lifted or will be charged regular rates.,617-247-0588,Greenhouse Parking Garage/Ultimate,150 Huntington Ave, ,0, ,{34A7C19A-0A0F-4494-B530-66F91C1D482C},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:30:56+00,BostonGIS
-7912751.6491,5213145.6265,46,48,,$12 for each 24-hour period,"Discount only for Back Bay, Beacon Hill and South End. If parking ban ends before 6PM residents must move cars within two hours. If ban ends after 6PM residents have till 9AM the following morning to remove cars.  Need to stop by level P2 to get discount",617-236-3060,The Prudential Center Garage,800 Boylston St, ,0, ,{9C5D7F96-C00D-4EF7-9A97-12B65B21BE08},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:31:53+00,BostonGIS
-7911893.089,5213378.6508,49,51,,$14 for each 24-hour period,"There are a limited amount of public spaces available. Discounted rates for Back Bay, Bay Village, and South End. Proof of residency required. Stop by garage office on first floor of facility to receive the snow emergency rate before leaving vehicle. ",617-948-2060,LAZ Parking/The Clarendon Parking Garage,400 Stuart St, ,0, ,{E72EE0BE-6317-40EF-85EC-B47AF6CAAB3E},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 16:28:52+00,BostonGIS
-7915134.547,5212723.8824,50,52,,$15 for each 24-hour period,"Due to construction, emergency parking may not be available.  Call in advance.  Discounted rates for residents of Fenway/Kenmore only. When you enter the garage get your ticket validated on P4.  Early entry or late exit will result in normal rates.",857-293-8577,Landmark Center Parking Garage,401 Park Dr, ,0, ,{8940ACF5-253A-40CC-8674-4993A5D5B8F2},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 19:49:32+00,BostonGIS
-7912956.0437,5212756.3268,51,53,,$10 for each 24-hour period,"Due to construction, spaces are limited.  Call ahead to confirm spaces are still available.  Discounted rate for residents of the South End and Back Bay only.  Proof of residency is required.", ,Christian Science Garage,235 Huntington Ave, ,0, ,{C5A4CBCB-DDBE-4404-82F4-3372B06E18C6},2017/12/04 17:09:20+00,BostonGIS,2019/01/15 19:33:18+00,BostonGIS
-7911945.7544,5213242.2932,52,,,$14 for each 24-hour period,"Stop by the garage office on the first floor of the facility to receive the snow emergency rate before leaving with your vehicle. You must show proof of your residency in the Back Bay, South End, or Bay Village.",617-275-0151,100 Clarendon Street Garage,100 Clarendon Street,,,,{01D2BA7C-F000-40BC-AE23-E66F8A17F8E5},2017/12/08 20:54:22+00,143525_boston,2019/01/15 16:30:37+00,BostonGIS
-7909495.7076,5212549.7987,53,,,$10 for each 24-hour period,Discounted parking for all City of Boston residents.  Please bring as proof of residence a valid driver’s license with a City of Boston address to the garage office.  You have 24 hours after the City lifts the snow emergency to remove your vehicle.,617-269-1830,Channel Center Garage,116 West First Street,,,,{F19D4AA9-B27B-4E2D-980C-87A457E4EAA2},2017/12/08 21:10:50+00,143525_boston,2019/01/15 16:40:47+00,BostonGIS
-7914785.0629,5212681.9565,54,,,$15 for each 24-hour period,"Discounted parking for Fenway/Kenmore residents only.  Before leaving, stop by the office on P1 with both your proof of residency and ticket to get the discount.  If parking ban is lifted at 6 PM you need to remove your vehicle by 9 AM  the next day.", ,Van Ness Garage,1335 Boylston Street,,,,{9FA09963-363F-43E0-8438-FE2F0EAC7F7F},2017/12/08 21:16:51+00,143525_boston,2019/01/16 15:24:21+00,BostonGIS
-7911896.683,5210876.1291,55,,,$10 for each 24-hour period,"You must show proof of your Boston residency to the cashier. If you don't, you won't be eligible for the discount.", ,Crosstown Center Garage,7 Melnea Cass Boulevard,,,,{5CA32713-7706-47C2-BC15-A2954B13240E},2017/12/08 21:25:51+00,143525_boston,2019/01/15 16:46:48+00,BostonGIS
-7911206.5754,5213618.1214,56,,,$0 for duration of Snow Emergency for Bay Village residents only. $10/24 hour period for all other Boston residents,"Bay Village resident parking permit or proof of Boston residency is required. To receive the discounted rate, parking can begin two hours before the emergency goes into effect and leave no later than two hours after parking ban is lifted",,200 Stuart Street Garage,200 Stuart Street,,,,{A1C396C5-5F5C-4C7A-B169-9894B5CD8E2F},2018/01/03 18:48:56+00,,2019/01/15 19:53:03+00,BostonGIS
-7911258.6374,5213708.0415,60,,,$10 for 24 hour period,Discounted parking for all Boston residents with a City Of Boston Resident Parking Permit or proof of Boston residency.  Enter up to 2 hours before emergency goes into effect and exit within 2 hours of the ban being lifted.,,Motor Mart Garage,201 Stuart Street,,,,{10804333-4CE7-4DEF-9AB4-0FF536CE20FC},2018/03/12 19:05:06+00,BostonGIS,2019/01/15 20:00:22+00,BostonGIS
